Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,-33.96695,1.3525642,754.93805,0.06710081,0.00029967033,4999.0,-1446.398609355092,-1446.398609355092,1.0
70000,-41.320095,0.8434398,866.83875,0.068133965,0.00029960665,None,None,None,1.0
80000,-29.754126,1.5086508,470.38663,0.06483527,0.0002995496,None,None,None,1.0
90000,-30.059628,1.3495992,65.4839,0.066892035,0.00029949262,None,None,None,1.0
100000,-28.99859,1.5759121,37.559372,0.07068001,0.00029942926,None,None,None,1.0
110000,-30.862186,1.4425681,32.68696,0.06803879,0.0002993659,4999.0,445.17730002999303,445.17730002999303,1.0
120000,-23.486523,1.6420718,827.8251,0.074623205,0.00029930833,None,-217.25546152889729,-217.25546152889729,1.0
130000,-18.389833,1.813986,18.024645,0.07204862,0.00029925132,None,None,None,1.0
140000,-13.145225,1.937147,6.013345,0.07326336,0.00029918793,None,None,None,1.0
150000,-10.624109,1.9935776,3.4234242,0.06516213,0.00029913094,None,None,None,1.0
160000,-7.4323683,2.014028,1.8377953,0.07410052,0.0002990739,None,None,None,1.0
170000,-5.7125826,1.9378402,420.0148,0.06582669,0.00029901034,4999.0,460.81564393097705,460.81564393097705,1.0
180000,-9.933107,1.7598356,248.85298,0.07611976,0.00029894663,None,None,None,1.0
190000,-13.161392,1.3692167,198.28221,0.06965349,0.00029888964,None,None,None,1.0
200000,-12.719414,1.3704315,27.801764,0.06924674,0.0002988326,None,None,None,1.0
210000,-11.56253,1.3836226,135.40591,0.06951977,0.00029876924,None,None,None,1.0
220000,-10.529055,1.3284762,10.952415,0.06424744,0.00029870588,4999.0,685.6525186643005,685.6525186643005,1.0
230000,-2.5297704,1.714359,611.228,0.07364967,0.00029864832,None,-124.260279327631,-124.260279327631,1.0
240000,-9.20121,1.0522751,514.80566,0.06539857,0.00029859133,None,None,None,1.0
250000,-13.368757,1.1206864,274.31888,0.06721879,0.00029852794,None,None,None,1.0
260000,-13.137048,1.1457285,32.415024,0.06806798,0.0002984709,None,None,None,1.0
270000,-10.903236,1.2137203,29.30661,0.061118573,0.0002984139,None,None,None,1.0
280000,-5.4660096,1.084899,770.283,0.06584369,0.00029835032,4999.0,472.6124580685388,472.6124580685388,1.0
290000,-9.352566,0.7397626,1114.5664,0.064544104,0.00029828664,None,None,None,1.0
300000,-11.440162,0.92253757,97.33941,0.063680604,0.00029822966,None,None,None,1.0
310000,-11.657897,0.9653542,35.01383,0.067570634,0.0002981726,None,None,None,1.0
320000,-12.7818365,0.8776298,188.87119,0.06651022,0.00029810925,None,None,None,1.0
330000,-13.323277,0.9853968,66.59402,0.06757866,0.0002980459,4999.0,41.4089721493423,41.4089721493423,1.0
340000,-4.605528,0.5671019,1315.0027,0.06406598,0.00029798833,None,1159.4711429327726,1159.4711429327726,1.0
