Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,8.54938,0.73419493,68.106155,0.06490577,0.0002998471,1999.0,596.4235080040314,596.4235080040314,1.0
40000,2.32927,1.1905513,60.054565,0.0635283,0.00029978988,None,None,None,1.0
50000,7.9758477,0.9008767,35.341564,0.06900927,0.00029973223,1999.0,596.6541023958813,596.6541023958813,1.0
60000,5.9786706,0.9116039,79.025665,0.06547485,0.00029966843,None,None,None,1.0
70000,6.290451,1.0963444,19.899046,0.075644806,0.00029961113,1999.0,597.0693093538284,597.0693093538284,1.0
80000,8.972173,0.67866355,85.19507,0.06650577,0.00029955333,None,None,None,1.0
90000,4.2420483,1.3755902,102.064476,0.065561555,0.00029948974,1999.0,465.19513910670173,465.19513910670173,1.0
100000,11.249932,0.55899537,86.34974,0.067508265,0.00029942556,None,None,None,1.0
110000,2.9389336,1.6402516,43.938515,0.070546955,0.00029936855,1999.0,496.79700623303654,496.79700623303654,1.0
120000,14.32992,0.295254,136.0314,0.0673991,0.00029931046,None,408.40178748965263,408.40178748965263,1.0
130000,4.000546,0.9579218,85.78388,0.06747548,0.00029924707,None,None,None,1.0
140000,9.735535,0.4538096,88.51565,0.07872482,0.0002991893,1999.0,-54.21033971553499,-54.21033971553499,1.0
150000,4.3501344,0.9758673,57.58008,0.06320936,0.00029913196,None,None,None,1.0
160000,6.8861923,0.6511691,41.4282,0.06886198,0.000299068,1999.0,596.9721213389527,596.9721213389527,1.0
170000,8.324998,0.5711893,106.51014,0.059976682,0.00029901054,None,None,None,1.0
180000,2.1767983,0.63193303,63.148613,0.06367967,0.0002989531,1999.0,136.36568802459672,136.36568802459672,1.0
190000,6.9211793,0.61214423,91.22591,0.07033102,0.0002988891,None,None,None,1.0
200000,0.6439134,1.1443352,14.20053,0.06907789,0.00029883208,1999.0,479.43609313937753,479.43609313937753,1.0
210000,3.1426105,0.46088335,112.2418,0.06644232,0.00029877402,None,None,None,1.0
220000,-8.958949,1.2084497,44.138023,0.07167198,0.00029871063,1999.0,192.93631425499916,192.93631425499916,1.0
230000,0.59925056,0.70277655,128.17372,0.06554614,0.00029864622,None,-775.3409252166748,-775.3409252166748,1.0
240000,1.8622004,1.3141283,295.58826,0.06351273,0.00029858918,None,None,None,1.0
250000,5.878401,0.7401777,112.814735,0.07019465,0.00029853132,1999.0,156.21619429507038,156.21619429507038,1.0
260000,-4.194744,1.2080096,78.68401,0.06841225,0.00029846776,None,None,None,1.0
270000,6.322559,0.86215216,51.740562,0.06693913,0.0002984102,1999.0,485.46496493978935,485.46496493978935,1.0
280000,-9.272962,1.0195619,102.87205,0.06645043,0.00029835265,None,None,None,1.0
290000,-0.25425804,0.9367291,131.14066,0.06852467,0.00029828888,1999.0,232.51242869008672,232.51242869008672,1.0
300000,-10.8888445,0.84816396,151.47505,0.061535258,0.00029823123,None,None,None,1.0
310000,-4.4295273,0.9691657,71.8947,0.0722891,0.00029817398,1999.0,189.78759721598843,189.78759721598843,1.0
320000,-2.6756346,0.70508844,150.39336,0.06891978,0.00029810978,None,None,None,1.0
330000,-1.4467402,1.1825086,16.100834,0.06812237,0.00029804642,1999.0,583.23071962893,583.23071962893,1.0
340000,5.8719335,0.6457613,119.33091,0.06643547,0.00029798833,None,601.8462503254414,601.8462503254414,1.0
350000,-0.5336942,1.1296767,101.97989,0.06955834,0.0002979313,None,None,None,1.0
360000,9.9474945,0.87055194,76.35355,0.07345357,0.0002978671,1999.0,521.4334814758463,521.4334814758463,1.0
370000,0.2726078,0.9425011,242.4659,0.06973341,0.00029780986,None,None,None,1.0
380000,9.256495,0.99851555,77.48244,0.06676714,0.00029775224,1999.0,257.0381221317432,257.0381221317432,1.0
390000,-0.08675,1.1128316,93.37694,0.06454074,0.0002976884,None,None,None,1.0
