Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,25.903553,0.48671576,336.92444,0.06979577,0.0002998471,1999.0,-588.5404341288588,-588.5404341288588,1.0
40000,2.8195436,0.27207854,358.61746,0.06874497,0.00029978988,None,None,None,1.0
50000,17.283657,0.55070585,361.51596,0.07016896,0.00029973223,1999.0,-406.66961886666036,-406.66961886666036,1.0
60000,9.295388,0.38115847,425.49136,0.06784263,0.00029966843,None,None,None,1.0
70000,21.629986,0.4532647,4523.89,0.06831582,0.00029961113,1999.0,158.99202001094818,158.99202001094818,1.0
80000,10.998091,0.4796693,512.38916,0.06871311,0.00029955333,None,None,None,1.0
90000,21.150904,0.39435467,5771.219,0.071063176,0.00029948974,1999.0,373.9014464291659,373.9014464291659,1.0
100000,16.530382,0.43973422,231.81242,0.06891284,0.00029942556,None,None,None,1.0
110000,22.40561,0.3839925,10412.77,0.07065997,0.00029936855,1999.0,2401.854000997543,2401.854000997543,1.0
120000,23.181393,0.32498354,205.95694,0.07115315,0.00029931046,None,2498.081853866577,2498.081853866577,1.0
130000,22.932207,0.37598965,8163.9204,0.06427808,0.00029924707,None,None,None,1.0
140000,28.435713,0.38265017,1205.8785,0.06504169,0.0002991893,1999.0,2117.3285486914897,2117.3285486914897,1.0
150000,25.70312,0.39450812,7068.2173,0.06410478,0.00029913196,None,None,None,1.0
160000,30.295193,0.37503737,915.4032,0.06715576,0.000299068,1999.0,2459.703827944669,2459.703827944669,1.0
170000,30.22194,0.393166,9489.373,0.07262718,0.00029901054,None,None,None,1.0
180000,31.86739,0.39432123,894.704,0.07075016,0.0002989531,1999.0,2818.787779721347,2818.787779721347,1.0
190000,32.96669,0.3857475,8531.932,0.07016175,0.0002988891,None,None,None,1.0
200000,35.882103,0.40325078,3641.5007,0.06612153,0.00029883208,1999.0,3186.2663614966655,3186.2663614966655,1.0
210000,31.722305,0.39827424,1040.0554,0.07709874,0.00029877402,None,None,None,1.0
220000,37.111187,0.42742962,7489.8096,0.062239755,0.00029871063,1999.0,2723.830913448334,2723.830913448334,1.0
230000,38.815666,0.40361392,179.22292,0.06565757,0.00029864622,None,2716.9685020446777,2716.9685020446777,1.0
240000,40.224052,0.40268856,9157.185,0.06511276,0.00029858918,None,None,None,1.0
250000,41.874527,0.4528218,161.22426,0.066414006,0.00029853132,1999.0,2387.931802749634,2387.931802749634,1.0
260000,43.769615,0.43385908,7563.697,0.066357546,0.00029846776,None,None,None,1.0
270000,44.113712,0.43598306,177.04938,0.07075678,0.0002984102,1999.0,2683.5465432080355,2683.5465432080355,1.0
280000,41.809963,0.40510115,7800.258,0.06965645,0.00029835265,None,None,None,1.0
290000,46.297134,0.41374862,1999.9814,0.06771007,0.00029828888,1999.0,3078.5650356032634,3078.5650356032634,1.0
300000,45.849792,0.38727623,9494.215,0.06574135,0.00029823123,None,None,None,1.0
310000,46.251724,0.41209602,2406.5493,0.0688589,0.00029817398,1999.0,2957.090235081586,2957.090235081586,1.0
320000,49.8649,0.42295906,8775.843,0.070428655,0.00029810978,None,None,None,1.0
330000,54.511898,0.4170532,7037.953,0.06675887,0.00029804642,1999.0,4074.4506938576696,4074.4506938576696,1.0
340000,57.32867,0.40986183,728.7997,0.07459513,0.00029798833,None,4151.167351722717,4151.167351722717,1.0
350000,57.81476,0.40431845,9250.558,0.065818086,0.0002979313,None,None,None,1.0
