Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,-53.015385,0.10219848,1107.1805,0.06740659,0.00029978814,2999.0,-1053.3370033218102,-1053.3370033218102,1.0
50000,-53.408367,0.09457723,90.026535,0.06394621,0.0002997302,None,None,None,1.0
60000,-60.299862,0.10040294,2460.9478,0.071477056,0.00029966686,None,None,None,1.0
70000,-44.84477,0.17444019,1704.1794,0.073633544,0.00029960796,2999.0,-919.6001053723422,-919.6001053723422,1.0
80000,-4.5399456,0.21115363,237.57063,0.071435645,0.0002995491,None,None,None,1.0
90000,-13.9178,0.24919851,5864.039,0.06540032,0.00029948572,None,None,None,1.0
100000,-6.836,0.26042572,7045.8164,0.07071807,0.0002994287,2999.0,2737.4242410334673,2737.4242410334673,1.0
110000,-1.7213104,0.22976458,893.7459,0.06648909,0.000299368,None,None,None,1.0
120000,2.540891,0.23345521,4943.02,0.067941025,0.00029931095,None,None,None,1.0
130000,13.66625,0.24077433,1935.4768,0.06762104,0.00029925394,None,None,None,1.0
140000,8.09986,0.2819572,1887.7715,0.06467442,0.00029918767,2999.0,1808.1575874320486,1808.1575874320486,1.0
150000,17.64202,0.3412429,9762.618,0.071318455,0.00029912987,None,None,None,1.0
160000,31.770878,0.28524548,1524.9696,0.07061158,0.00029907282,None,None,None,1.0
170000,14.865892,0.32264182,4982.3096,0.06876434,0.00029900728,2999.0,4356.188233635642,4356.188233635642,1.0
180000,39.62413,0.320465,255.67035,0.06899613,0.00029894878,None,None,None,1.0
190000,30.547464,0.28334534,7973.1396,0.067632094,0.00029889174,None,None,None,1.0
200000,29.108955,0.32069367,9744.552,0.067390144,0.00029883473,2999.0,5065.919948751276,5065.919948751276,1.0
210000,37.686375,0.2651548,268.20175,0.06823734,0.00029877404,None,None,None,1.0
220000,34.358936,0.31460524,8357.148,0.07326264,0.00029871063,None,None,None,1.0
230000,35.15877,0.30239198,8761.058,0.07321431,0.0002986473,None,None,None,1.0
240000,36.269302,0.263498,275.82358,0.06637069,0.0002985866,2999.0,5220.5369592905045,5220.5369592905045,1.0
250000,35.475002,0.27437693,8133.492,0.06902108,0.00029852954,None,None,None,1.0
260000,48.952927,0.24880442,3534.2856,0.062418796,0.00029846616,None,None,None,1.0
270000,30.51026,0.24483746,4543.8506,0.068425566,0.0002984064,2999.0,5004.288055769422,5004.288055769422,1.0
280000,49.04802,0.25992358,7809.368,0.06636284,0.00029834843,None,None,None,1.0
290000,46.51431,0.23433116,1124.8231,0.07036705,0.0002982914,None,None,None,1.0
300000,37.048763,0.28128085,9267.357,0.070834115,0.00029823367,2999.0,5189.899280388247,5189.899280388247,1.0
310000,52.251095,0.25832182,259.86932,0.06566547,0.00029816735,None,None,None,1.0
320000,48.107464,0.25743112,11043.651,0.071872935,0.0002981103,None,None,None,1.0
330000,49.275677,0.31192678,8199.132,0.06834645,0.00029805326,2999.0,5194.797538384795,5194.797538384795,1.0
340000,52.13998,0.2536441,230.30405,0.067867026,0.00029798623,None,5445.352233886719,5445.352233886719,1.0
350000,55.40163,0.31488413,10354.656,0.0708818,0.0002979292,None,None,None,1.0
360000,58.796013,0.2889974,6934.125,0.067179315,0.00029787217,None,None,None,1.0
370000,56.78492,0.29616776,989.19434,0.060540684,0.0002978124,2999.0,5420.722867846489,5420.722867846489,1.0
380000,55.858913,0.309046,7578.009,0.07131454,0.00029775442,None,None,None,1.0
390000,62.12177,0.23588884,194.12187,0.06675039,0.00029769106,None,None,None,1.0
400000,52.998177,0.29919356,10147.937,0.065110885,0.00029763312,2999.0,5286.522407805378,5286.522407805378,1.0
410000,65.6778,0.2689671,200.60811,0.06548558,0.00029757334,None,None,None,1.0
420000,61.307957,0.2702407,8428.504,0.07039233,0.00029750998,None,None,None,1.0
430000,64.70291,0.41848928,9669.36,0.07451692,0.00029745293,2999.0,5210.886602981524,5210.886602981524,1.0
440000,63.310535,0.2439917,743.5397,0.06823821,0.00029739222,None,None,None,1.0
450000,68.03551,0.4292498,7873.1147,0.0697402,0.00029732886,None,None,None,1.0
460000,67.82043,0.44464168,4262.989,0.0670577,0.0002972655,None,None,None,1.0
470000,70.09788,0.35355267,2934.512,0.07048403,0.0002972048,2999.0,4951.044178549539,4951.044178549539,1.0
480000,70.83666,0.5603178,5842.225,0.07415162,0.00029714775,None,None,None,1.0
490000,73.13161,0.43817565,519.8295,0.06719853,0.00029709074,None,None,None,1.0
500000,75.50062,0.43748227,6643.5312,0.06983851,0.00029703224,2999.0,5202.307816761461,5202.307816761461,1.0
510000,69.47031,0.5013202,1191.2695,0.06961517,0.00029696664,None,None,None,1.0
520000,70.043915,0.39065766,7394.241,0.073495336,0.00029690965,None,None,None,1.0
530000,64.39208,0.99641424,214.95288,0.06780177,0.00029685188,2999.0,2994.7031377486205,2994.7031377486205,1.0
540000,71.71463,0.57675666,209.63884,0.06694054,0.00029678555,None,None,None,1.0
550000,65.57238,0.9917219,7882.737,0.06746209,0.0002967285,None,None,None,1.0
560000,74.62166,0.63270074,2478.9092,0.06939624,0.0002966715,None,None,None,1.0
570000,76.14626,0.6705017,161.66301,0.07237949,0.0002966108,2999.0,3428.720984013243,3428.720984013243,1.0
580000,62.898464,1.0593808,191.68135,0.06538834,0.00029655377,None,None,None,1.0
590000,76.790245,0.7319924,7234.2295,0.066517934,0.0002964904,None,None,None,1.0
600000,79.19259,0.578005,656.91797,0.06777077,0.0002964315,2999.0,3280.88902359659,3280.88902359659,1.0
610000,70.18651,0.7889865,285.61728,0.06803975,0.00029637266,None,None,None,1.0
620000,75.17388,0.82825035,7632.297,0.07363621,0.0002963093,None,None,None,1.0
