Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,4.183886,1.293808,115.789795,0.06330006,0.0002998471,1999.0,339.73791595074266,339.73791595074266,1.0
40000,5.2156787,1.8970424,52.996624,0.07439737,0.00029978988,None,None,None,1.0
50000,4.00182,1.3369232,71.939285,0.06591308,0.00029973223,1999.0,405.171656339006,405.171656339006,1.0
60000,5.21064,1.6012392,90.23482,0.07314475,0.00029966843,None,None,None,1.0
70000,3.3857384,1.5299666,73.72722,0.066041104,0.00029961113,1999.0,288.33819640901953,288.33819640901953,1.0
80000,5.6166363,1.3219209,126.17539,0.070288226,0.00029955333,None,None,None,1.0
90000,1.9172413,1.7329688,40.011166,0.06866717,0.00029948974,1999.0,314.6067210300402,314.6067210300402,1.0
100000,7.3313346,0.91713977,138.44864,0.06337648,0.00029942556,None,None,None,1.0
110000,1.8235178,1.8958691,15.078455,0.07271711,0.00029936855,1999.0,296.98374872505667,296.98374872505667,1.0
120000,8.460888,0.6057505,153.32968,0.07575019,0.00029931046,None,283.36871387064457,283.36871387064457,1.0
130000,4.7899942,1.4969274,79.43964,0.071419604,0.00029924707,None,None,None,1.0
140000,7.8888474,0.7425196,157.40027,0.064429596,0.0002991893,1999.0,-9.032126713882793,-9.032126713882793,1.0
150000,4.5154476,1.7672296,72.98354,0.06724016,0.00029913196,None,None,None,1.0
160000,6.6189737,1.007699,116.95486,0.07006964,0.000299068,1999.0,288.32610389183867,288.32610389183867,1.0
170000,5.836324,0.8404308,155.67656,0.06789276,0.00029901054,None,None,None,1.0
180000,5.150923,1.0464334,92.36329,0.072093144,0.0002989531,1999.0,-158.59885166991842,-158.59885166991842,1.0
190000,7.698858,0.8567009,142.0568,0.075351775,0.0002988891,None,None,None,1.0
200000,3.5090547,1.3286124,89.634224,0.06904797,0.00029883208,1999.0,-63.31996545872905,-63.31996545872905,1.0
210000,6.5142694,0.8553452,164.81685,0.06812489,0.00029877402,None,None,None,1.0
220000,1.0839905,1.5518397,37.90806,0.0724512,0.00029871063,1999.0,119.85584364533425,119.85584364533425,1.0
230000,4.171165,0.63130134,169.55338,0.07036379,0.00029864622,None,528.4808585345745,528.4808585345745,1.0
240000,1.2810432,1.8779753,39.041634,0.070462175,0.00029858918,None,None,None,1.0
250000,4.6387897,0.8126728,131.44887,0.06666833,0.00029853132,1999.0,307.3379560736093,307.3379560736093,1.0
260000,2.7623734,1.724898,35.201996,0.06472094,0.00029846776,None,None,None,1.0
270000,6.0141864,0.9779843,119.520065,0.064172834,0.0002984102,1999.0,423.89465815641665,423.89465815641665,1.0
280000,2.8587248,0.96609104,113.321815,0.07017004,0.00029835265,None,None,None,1.0
290000,4.8167667,1.1225673,84.76766,0.06316618,0.00029828888,1999.0,183.42814055356112,183.42814055356112,1.0
300000,1.8705755,0.9915607,126.08223,0.06741197,0.00029823123,None,None,None,1.0
