Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,0.87612426,1.3908027,244.37253,0.0682218,0.0002998471,1999.0,494.1774670109153,494.1774670109153,1.0
40000,1.4887357,-3.635617,88.32846,0.07277711,0.00029978988,None,None,None,1.0
50000,1.1380755,-1.0809833,164.376,0.06421626,0.00029973223,1999.0,941.1022435270927,941.1022435270927,1.0
60000,1.252883,0.143317,169.97751,0.07280868,0.00029966843,None,None,None,1.0
70000,1.38544,-1.7812812,93.099945,0.06921589,0.00029961113,1999.0,855.2665894492106,855.2665894492106,1.0
80000,0.991234,5.2693195,214.9314,0.06436434,0.00029955333,None,None,None,1.0
90000,1.5788685,-3.497387,57.18355,0.066332564,0.00029948974,1999.0,975.4658638685942,975.4658638685942,1.0
100000,0.89355206,8.171657,240.37749,0.068739876,0.00029942556,None,None,None,1.0
110000,1.8531042,-4.7797456,24.489895,0.06944697,0.00029936855,1999.0,838.4929547801614,838.4929547801614,1.0
120000,0.7113153,12.103393,215.10933,0.06269491,0.00029931046,None,950.9356813728809,950.9356813728809,1.0
130000,1.7412803,-3.2729912,46.61373,0.06718017,0.00029924707,None,None,None,1.0
140000,0.8593311,10.727016,205.89905,0.06723125,0.0002991893,1999.0,1021.9372181580825,1021.9372181580825,1.0
150000,1.6247168,0.5111851,88.06647,0.07078977,0.00029913196,None,None,None,1.0
160000,1.1070362,8.602448,128.6777,0.06785002,0.000299068,1999.0,1024.319907722148,1024.319907722148,1.0
170000,1.3535559,6.8636966,137.33904,0.068793505,0.00029901054,None,None,None,1.0
180000,1.3821121,5.4887495,66.76841,0.07282768,0.0002989531,1999.0,1031.4700949029489,1031.4700949029489,1.0
190000,1.0522128,12.604582,175.90536,0.075054035,0.0002988891,None,None,None,1.0
200000,1.5860091,1.8233938,2.9737542,0.06785538,0.00029883208,1999.0,993.4871512847868,993.4871512847868,1.0
210000,0.90221006,18.00252,217.15662,0.06910673,0.00029877402,None,None,None,1.0
220000,1.4702755,1.7268628,10.28264,0.0712724,0.00029871063,1999.0,990.7684628292918,990.7684628292918,1.0
230000,0.7614591,21.023851,208.92691,0.0717111,0.00029864622,None,1010.5964213460684,1010.5964213460684,1.0
240000,1.4647813,4.0861645,16.92955,0.067633234,0.00029858918,None,None,None,1.0
250000,0.76260704,18.090916,160.61662,0.071763,0.00029853132,1999.0,880.882404349067,880.882404349067,1.0
