Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,-30.334372,0.19526719,82.031044,0.062752806,0.00029978814,2999.0,-2608.4711913195524,-2608.4711913195524,1.0
50000,-39.27261,0.06322965,130.91962,0.06950827,0.0002997302,None,None,None,1.0
60000,-50.822483,0.03375997,52.151836,0.06968332,0.00029966686,None,None,None,1.0
70000,-51.101665,0.21229784,63.450287,0.06925247,0.00029960796,2999.0,-2738.0395006699996,-2738.0395006699996,1.0
80000,-40.521698,0.4018214,329.52377,0.07081545,0.0002995491,None,None,None,1.0
90000,-31.767916,0.17557691,583.40344,0.06529089,0.00029948572,None,None,None,1.0
100000,-32.2726,0.26515502,567.4966,0.072434776,0.0002994287,2999.0,-3585.0226505615497,-3585.0226505615497,1.0
110000,-59.39055,0.631052,124.78798,0.070379786,0.000299368,None,None,None,1.0
120000,-33.425663,0.64063495,551.6747,0.06271709,0.00029931095,None,None,None,1.0
130000,-35.64289,0.67154706,544.5784,0.07122052,0.00029925394,None,None,None,1.0
140000,-51.477448,0.83348703,162.30916,0.070568725,0.00029918767,2999.0,-2986.0238986299796,-2986.0238986299796,1.0
150000,-32.242554,0.7654383,195.08823,0.066704154,0.00029912987,None,None,None,1.0
160000,-24.451927,1.272053,94.95201,0.06175093,0.00029907282,None,None,None,1.0
170000,-34.342358,1.0583625,182.21631,0.06786957,0.00029900728,2999.0,-1416.1289338618517,-1416.1289338618517,1.0
180000,-55.79173,0.900571,93.96231,0.07462415,0.00029894878,None,None,None,1.0
190000,-39.470676,0.7680519,75.30212,0.06683209,0.00029889174,None,None,None,1.0
200000,-17.993917,1.1436566,84.15555,0.06868574,0.00029883473,2999.0,-587.9045046046376,-587.9045046046376,1.0
210000,-2.8267376,1.5219346,2.1063495,0.07414109,0.00029877404,None,None,None,1.0
220000,-1.6054548,1.5849527,1.5662485,0.061588548,0.00029871063,None,None,None,1.0
230000,-1.624657,1.5413984,0.32036978,0.071315706,0.0002986473,None,None,None,1.0
240000,-3.7989314,1.4053419,1.8898193,0.065342955,0.0002985866,2999.0,-5.955932512879372,-5.955932512879372,1.0
250000,-1.5279189,1.5270513,0.55620164,0.06944342,0.00029852954,None,None,None,1.0
260000,-1.1632179,1.4935609,0.05878856,0.062807515,0.00029846616,None,None,None,1.0
270000,-5.665558,1.3693697,44.317738,0.06814514,0.0002984064,2999.0,-5.466851682825522,-5.466851682825522,1.0
280000,-10.792652,1.3467443,46.983032,0.070565924,0.00029834843,None,None,None,1.0
290000,-7.136789,1.3269386,128.20952,0.066497244,0.0002982914,None,None,None,1.0
300000,-6.1077337,1.3425164,87.53013,0.06610382,0.00029823367,2999.0,257.25828827917576,257.25828827917576,1.0
310000,-17.090286,1.3954703,189.24728,0.06660919,0.00029816735,None,None,None,1.0
320000,-9.497056,1.5046823,12.7816,0.064825505,0.0002981103,None,None,None,1.0
330000,-8.691857,1.464859,3.7064788,0.07371348,0.00029805326,2999.0,41.763283812999724,41.763283812999724,1.0
340000,-4.5476875,1.4184978,18.253338,0.06966336,0.00029798623,None,112.8395604789257,112.8395604789257,1.0
350000,-9.93568,1.4237739,13.61319,0.07189923,0.0002979292,None,None,None,1.0
360000,-11.18748,1.4678067,23.97364,0.06583297,0.00029787217,None,None,None,1.0
370000,-15.033178,1.2345897,41.11902,0.06470068,0.0002978124,2999.0,-196.61899336088788,-196.61899336088788,1.0
380000,-23.44774,1.2578498,28.648123,0.06692291,0.00029775442,None,None,None,1.0
390000,-25.13282,1.1848133,38.42917,0.07320659,0.00029769106,None,None,None,1.0
400000,-16.159918,1.0217708,145.6821,0.06643007,0.00029763312,2999.0,-318.0709893046455,-318.0709893046455,1.0
410000,-16.860643,1.0406793,99.47841,0.07282046,0.00029757334,None,None,None,1.0
420000,-29.216734,0.6121584,107.73657,0.0719565,0.00029750998,None,None,None,1.0
430000,-28.597872,0.5862112,2891.4248,0.07653537,0.00029745293,2999.0,-74.02447871728377,-74.02447871728377,1.0
440000,-18.001793,0.60980237,235.51804,0.062316667,0.00029739222,None,None,None,1.0
450000,-3.7766285,0.81578183,6516.593,0.073809125,0.00029732886,None,None,None,1.0
460000,-19.469854,0.6842645,361.64905,0.06809445,0.0002972655,None,None,None,1.0
470000,-22.364119,0.6058073,140.00183,0.066726826,0.0002972048,2999.0,2256.7796446830034,2256.7796446830034,1.0
480000,-29.65268,0.63343567,939.4012,0.067068145,0.00029714775,None,None,None,1.0
490000,-23.608446,0.6017231,1141.5648,0.072737336,0.00029709074,None,None,None,1.0
500000,-26.79307,0.4482729,1739.6959,0.06309374,0.00029703224,2999.0,-121.12269800359553,-121.12269800359553,1.0
