Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,22.412163,0.7970214,151.59407,0.07177108,0.0002998471,1999.0,714.0373964614489,714.0373964614489,1.0
40000,3.9609675,1.3723491,115.54245,0.07134748,0.00029978988,None,None,None,1.0
50000,19.522503,0.9579597,72.86411,0.067257,0.00029973223,1999.0,749.4060402187434,749.4060402187434,1.0
60000,8.500254,1.1170827,83.74632,0.07587311,0.00029966843,None,None,None,1.0
70000,14.5118885,1.1851969,102.01752,0.0674717,0.00029961113,1999.0,783.6080304898999,783.6080304898999,1.0
80000,15.589085,0.93872917,105.98983,0.06760818,0.00029955333,None,None,None,1.0
90000,8.695368,1.4202322,16.181461,0.075944774,0.00029948974,1999.0,833.2235207611865,833.2235207611865,1.0
100000,23.528828,0.71541345,113.31095,0.07053626,0.00029942556,None,None,None,1.0
110000,3.4399402,1.7248096,130.14545,0.06778202,0.00029936855,1999.0,732.2562501370907,732.2562501370907,1.0
120000,30.025707,0.48783523,99.23745,0.06698562,0.00029931046,None,651.2739872485399,651.2739872485399,1.0
130000,4.218034,1.6049861,76.89006,0.0692002,0.00029924707,None,None,None,1.0
140000,26.889643,0.6821037,94.04613,0.06665861,0.0002991893,1999.0,769.0332624979994,769.0332624979994,1.0
150000,6.5479774,1.2373706,126.29634,0.06780293,0.00029913196,None,None,None,1.0
160000,23.500526,0.8554623,199.57468,0.07525919,0.000299068,1999.0,725.7282177914273,725.7282177914273,1.0
170000,10.983733,0.82294136,132.79776,0.07778438,0.00029901054,None,None,None,1.0
180000,20.818571,0.79279584,40.83523,0.0726211,0.0002989531,1999.0,913.4394197430123,913.4394197430123,1.0
190000,18.28638,0.6728359,106.91331,0.062068187,0.0002988891,None,None,None,1.0
200000,16.456303,0.93974054,28.850803,0.06858771,0.00029883208,1999.0,994.7306520518931,994.7306520518931,1.0
210000,26.584072,0.5372234,109.23909,0.07270477,0.00029877402,None,None,None,1.0
220000,19.079084,0.6714821,7542.2812,0.06594838,0.00029871063,1999.0,2118.2449664369224,2118.2449664369224,1.0
